,Furnishing_status,OperatingTime,SecurityDeposit,Premium,Area,BHK,Owner,ResidencyType
0,Semi-Furnished,2005,10000,Premium,"NEB Valley Society, Saket",1,Nagpal Associates,Other
1,Semi-Furnished,2000,10000,Premium,"Project Amar Colony, Lajpat Nagar 4",Unknown,Bhalla Properties,Apartment
2,Semi-Furnished,0,10000,Premium,Saket,1,S S Deswal,Other
3,Unfurnished,2010,9500,Premium,Laxmi Nagar,1,Good Luck Properties,Other
4,Unknown,2000,6000,Premium,Sant Nagar East of Kailash,Unknown,Amit Property,Other
5,Semi-Furnished,0,9000,Premium,"Sarita Vihar, Mathura Road",1,Subodh Rawat,Apartment
6,Unknown,0,10000,Premium,Mayur Vihar 1,Unknown,Lucky Property,Other
7,Unfurnished,2010,10000,Premium,Munirka,1,Mudgal Associates,House
8,Semi-Furnished,0,10000,Premium,Tughlakabad Extension,1,dishant,Other
9,Unfurnished,0,10000,Premium,Aya Nagar,3,Sushma Singh,House
10,Semi-Furnished,0,10000,Premium,Chilla Sarda Bangar Village,1,kuldeep,House
11,Furnished,0,6500,Premium,Molarband,2,Vinod Kumar,House
12,Furnished,0,9000,Premium,Raja Garden,1,Satish batra,House
13,Semi-Furnished,2014,9000,Premium,"Kotla Mubarakpur, South Extension",1,Pahul Associates,Other
14,Unfurnished,0,6000,Premium,"DDA LIG Flats, Shahdara",1,dhruv,Apartment
15,Furnished,0,5000,Non-Premium,Sangam Vihar,1,Gaurav Chauhan,House
16,Unknown,0,7000,Premium,Block A Sewak Park,2,bks rathore,Other
17,Semi-Furnished,0,10000,Premium,"DDA Flats Sector 23, Sector 23 Dwarka",1,mohit singh,Apartment
18,Unfurnished,0,9500,Premium,Aya Nagar,1,Pramod Dixit,House
19,Semi-Furnished,0,5500,Premium,Rani Bagh Pitam Pura,1,Aman vij,Other
20,Unknown,0,8999,Premium,SS plaza,Unknown,gd mishra,Other
21,Unknown,0,3500,Non-Premium,Madhu Vihar Patparganj,Unknown,Sushma,Other
22,Semi-Furnished,0,7000,Premium,"Maidan Garhi, Chhattarpur",1,ravinder dagar,Apartment
23,Semi-Furnished,0,9000,Premium,Mahavir Enclave Part 3,2,Ashish Choudhary,Apartment
24,Unfurnished,0,7000,Premium,Narela,2,Dipanshu Dahiya,Other
25,Unfurnished,0,5000,Non-Premium,Jaitpur Extension Part 2,1,Siya,Apartment
26,Semi-Furnished,0,5500,Premium,Mohan Garden Razapur Khurd,1,kedar singh mahara,Apartment
27,Furnished,0,10000,Premium,Vishnu Garden,1,Smiley,Apartment
28,Unknown,0,5000,Non-Premium,Bhajanpura,Unknown,saif,Other
29,Unfurnished,0,5000,Non-Premium,Dwarka Mor,1,Sarvesh Banwal,House
30,Semi-Furnished,2005,10000,Premium,"NEB Valley Society, Saket",1,Nagpal Associates,Other
31,Semi-Furnished,2000,10000,Premium,"Project Amar Colony, Lajpat Nagar 4",Unknown,Bhalla Properties,Apartment
32,Semi-Furnished,0,10000,Premium,Saket,1,S S Deswal,Other
33,Unfurnished,2010,9500,Premium,Laxmi Nagar,1,Good Luck Properties,Other
34,Unknown,2000,6000,Premium,Sant Nagar East of Kailash,Unknown,Amit Property,Other
35,Semi-Furnished,0,9000,Premium,"Sarita Vihar, Mathura Road",1,Subodh Rawat,Apartment
36,Unknown,0,10000,Premium,Mayur Vihar 1,Unknown,Lucky Property,Other
37,Unfurnished,2010,10000,Premium,Munirka,1,Mudgal Associates,House
38,Semi-Furnished,0,10000,Premium,Tughlakabad Extension,1,dishant,Other
39,Unfurnished,0,10000,Premium,Aya Nagar,3,Sushma Singh,House
40,Semi-Furnished,0,10000,Premium,Chilla Sarda Bangar Village,1,kuldeep,House
41,Furnished,0,6500,Premium,Molarband,2,Vinod Kumar,House
42,Furnished,0,9000,Premium,Raja Garden,1,Satish batra,House
43,Semi-Furnished,2014,9000,Premium,"Kotla Mubarakpur, South Extension",1,Pahul Associates,Other
44,Unfurnished,0,6000,Premium,"DDA LIG Flats, Shahdara",1,dhruv,Apartment
45,Furnished,0,5000,Non-Premium,Sangam Vihar,1,Gaurav Chauhan,House
46,Unknown,0,7000,Premium,Block A Sewak Park,2,bks rathore,Other
47,Semi-Furnished,0,10000,Premium,"DDA Flats Sector 23, Sector 23 Dwarka",1,mohit singh,Apartment
48,Unfurnished,0,9500,Premium,Aya Nagar,1,Pramod Dixit,House
49,Semi-Furnished,0,5500,Premium,Rani Bagh Pitam Pura,1,Aman vij,Other
50,Unknown,0,8999,Premium,SS plaza,Unknown,gd mishra,Other
51,Unknown,0,3500,Non-Premium,Madhu Vihar Patparganj,Unknown,Sushma,Other
52,Semi-Furnished,0,7000,Premium,"Maidan Garhi, Chhattarpur",1,ravinder dagar,Apartment
53,Semi-Furnished,0,9000,Premium,Mahavir Enclave Part 3,2,Ashish Choudhary,Apartment
54,Unfurnished,0,7000,Premium,Narela,2,Dipanshu Dahiya,Other
55,Unfurnished,0,5000,Non-Premium,Jaitpur Extension Part 2,1,Siya,Apartment
56,Semi-Furnished,0,5500,Premium,Mohan Garden Razapur Khurd,1,kedar singh mahara,Apartment
57,Furnished,0,10000,Premium,Vishnu Garden,1,Smiley,Apartment
58,Unknown,0,5000,Non-Premium,Bhajanpura,Unknown,saif,Other
59,Unfurnished,0,5000,Non-Premium,Dwarka Mor,1,Sarvesh Banwal,House
60,Semi-Furnished,2005,10000,Premium,"NEB Valley Society, Saket",1,Nagpal Associates,Other
61,Semi-Furnished,2000,10000,Premium,"Project Amar Colony, Lajpat Nagar 4",Unknown,Bhalla Properties,Apartment
62,Semi-Furnished,0,10000,Premium,Saket,1,S S Deswal,Other
63,Unfurnished,2010,9500,Premium,Laxmi Nagar,1,Good Luck Properties,Other
64,Unknown,2000,6000,Premium,Sant Nagar East of Kailash,Unknown,Amit Property,Other
65,Semi-Furnished,0,9000,Premium,"Sarita Vihar, Mathura Road",1,Subodh Rawat,Apartment
66,Unknown,0,10000,Premium,Mayur Vihar 1,Unknown,Lucky Property,Other
67,Unfurnished,2010,10000,Premium,Munirka,1,Mudgal Associates,House
68,Semi-Furnished,0,10000,Premium,Tughlakabad Extension,1,dishant,Other
69,Unfurnished,0,10000,Premium,Aya Nagar,3,Sushma Singh,House
70,Semi-Furnished,0,10000,Premium,Chilla Sarda Bangar Village,1,kuldeep,House
71,Furnished,0,6500,Premium,Molarband,2,Vinod Kumar,House
72,Furnished,0,9000,Premium,Raja Garden,1,Satish batra,House
73,Semi-Furnished,2014,9000,Premium,"Kotla Mubarakpur, South Extension",1,Pahul Associates,Other
74,Unfurnished,0,6000,Premium,"DDA LIG Flats, Shahdara",1,dhruv,Apartment
75,Furnished,0,5000,Non-Premium,Sangam Vihar,1,Gaurav Chauhan,House
76,Unknown,0,7000,Premium,Block A Sewak Park,2,bks rathore,Other
77,Semi-Furnished,0,10000,Premium,"DDA Flats Sector 23, Sector 23 Dwarka",1,mohit singh,Apartment
78,Unfurnished,0,9500,Premium,Aya Nagar,1,Pramod Dixit,House
79,Semi-Furnished,0,5500,Premium,Rani Bagh Pitam Pura,1,Aman vij,Other
80,Unknown,0,8999,Premium,SS plaza,Unknown,gd mishra,Other
81,Unknown,0,3500,Non-Premium,Madhu Vihar Patparganj,Unknown,Sushma,Other
82,Semi-Furnished,0,7000,Premium,"Maidan Garhi, Chhattarpur",1,ravinder dagar,Apartment
83,Semi-Furnished,0,9000,Premium,Mahavir Enclave Part 3,2,Ashish Choudhary,Apartment
84,Unfurnished,0,7000,Premium,Narela,2,Dipanshu Dahiya,Other
85,Unfurnished,0,5000,Non-Premium,Jaitpur Extension Part 2,1,Siya,Apartment
86,Semi-Furnished,0,5500,Premium,Mohan Garden Razapur Khurd,1,kedar singh mahara,Apartment
87,Furnished,0,10000,Premium,Vishnu Garden,1,Smiley,Apartment
88,Unknown,0,5000,Non-Premium,Bhajanpura,Unknown,saif,Other
89,Unfurnished,0,5000,Non-Premium,Dwarka Mor,1,Sarvesh Banwal,House
90,Semi-Furnished,2005,10000,Premium,"NEB Valley Society, Saket",1,Nagpal Associates,Other
91,Semi-Furnished,2000,10000,Premium,"Project Amar Colony, Lajpat Nagar 4",Unknown,Bhalla Properties,Apartment
92,Semi-Furnished,0,10000,Premium,Saket,1,S S Deswal,Other
93,Unfurnished,2010,9500,Premium,Laxmi Nagar,1,Good Luck Properties,Other
94,Unknown,2000,6000,Premium,Sant Nagar East of Kailash,Unknown,Amit Property,Other
95,Semi-Furnished,0,9000,Premium,"Sarita Vihar, Mathura Road",1,Subodh Rawat,Apartment
96,Unknown,0,10000,Premium,Mayur Vihar 1,Unknown,Lucky Property,Other
97,Unfurnished,2010,10000,Premium,Munirka,1,Mudgal Associates,House
98,Semi-Furnished,0,10000,Premium,Tughlakabad Extension,1,dishant,Other
99,Unfurnished,0,10000,Premium,Aya Nagar,3,Sushma Singh,House
100,Semi-Furnished,0,10000,Premium,Chilla Sarda Bangar Village,1,kuldeep,House
101,Furnished,0,6500,Premium,Molarband,2,Vinod Kumar,House
102,Furnished,0,9000,Premium,Raja Garden,1,Satish batra,House
103,Semi-Furnished,2014,9000,Premium,"Kotla Mubarakpur, South Extension",1,Pahul Associates,Other
104,Unfurnished,0,6000,Premium,"DDA LIG Flats, Shahdara",1,dhruv,Apartment
105,Furnished,0,5000,Non-Premium,Sangam Vihar,1,Gaurav Chauhan,House
106,Unknown,0,7000,Premium,Block A Sewak Park,2,bks rathore,Other
107,Semi-Furnished,0,10000,Premium,"DDA Flats Sector 23, Sector 23 Dwarka",1,mohit singh,Apartment
108,Unfurnished,0,9500,Premium,Aya Nagar,1,Pramod Dixit,House
109,Semi-Furnished,0,5500,Premium,Rani Bagh Pitam Pura,1,Aman vij,Other
110,Unknown,0,8999,Premium,SS plaza,Unknown,gd mishra,Other
111,Unknown,0,3500,Non-Premium,Madhu Vihar Patparganj,Unknown,Sushma,Other
112,Semi-Furnished,0,7000,Premium,"Maidan Garhi, Chhattarpur",1,ravinder dagar,Apartment
113,Semi-Furnished,0,9000,Premium,Mahavir Enclave Part 3,2,Ashish Choudhary,Apartment
114,Unfurnished,0,7000,Premium,Narela,2,Dipanshu Dahiya,Other
115,Unfurnished,0,5000,Non-Premium,Jaitpur Extension Part 2,1,Siya,Apartment
116,Semi-Furnished,0,5500,Premium,Mohan Garden Razapur Khurd,1,kedar singh mahara,Apartment
117,Furnished,0,10000,Premium,Vishnu Garden,1,Smiley,Apartment
118,Unknown,0,5000,Non-Premium,Bhajanpura,Unknown,saif,Other
119,Unfurnished,0,5000,Non-Premium,Dwarka Mor,1,Sarvesh Banwal,House
120,Semi-Furnished,2005,10000,Premium,"NEB Valley Society, Saket",1,Nagpal Associates,Other
121,Semi-Furnished,2000,10000,Premium,"Project Amar Colony, Lajpat Nagar 4",Unknown,Bhalla Properties,Apartment
122,Semi-Furnished,0,10000,Premium,Saket,1,S S Deswal,Other
123,Unfurnished,2010,9500,Premium,Laxmi Nagar,1,Good Luck Properties,Other
124,Unknown,2000,6000,Premium,Sant Nagar East of Kailash,Unknown,Amit Property,Other
125,Semi-Furnished,0,9000,Premium,"Sarita Vihar, Mathura Road",1,Subodh Rawat,Apartment
126,Unknown,0,10000,Premium,Mayur Vihar 1,Unknown,Lucky Property,Other
